company_name,mst,company_representative,address
CÔNG TY CỔ PHẦN DƯỢC PHẨM THIÊN THẢO SÀI GÒN,0309818305,VÕ TẤN HỘI," 40/2 Huỳnh Đình Hai, Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI Y&N,0315047717,Phạm Văn Hoài," 13 Bùi Quang Là, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI PHÁT TRIỂN T&V,0315124873,LÊ THỊ HOA," 44 Đường số 10, Khu phố 5, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH NGHIÊN CỨU NUÔI TRỒNG SẢN XUẤT CÂY THUỐC QUÝ TÂM VIỆT,0315351989,TRẦN ĐẮC ĐẠT," 74 Linh Đông, Phường Linh Đông, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH DƯỢC PHẨM VĨNH XUÂN,0303972526,PHẠM ĐỨC TIẾN ," Số nhà 39-41 Phan Đình Phùng, Phường 17, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam"
ĐỊA ĐIỂM KINH DOANH THUỐC Y HỌC CỔ TRUYỀN DIỆP TÔ ĐƯỜNG - CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LINH,0400386171-001,LÊ THÀNH THUỶ TIÊN," 120 Bạch Đằng, Phường Hải Châu I, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
CÔNG TY TNHH SẢN XUẤT KINH DOANH THUỐC THÚ Y MINH HUY,0301860880,Tán Minh," Lô A111, đường số 2, khu công nghiệp Thái Hòa, ấp Tân Hòa, Xã Đức Lập Hạ, Huyện Đức Hoà, Tỉnh Long An, Việt Nam"
CÔNG TY CỔ PHẦN DƯỢC NAM ĐỊNH,0600202752,Trần Bá Trung," Số 66 Trần Phú, Phường Trần Hưng Đạo, Thành phố Nam Định, Tỉnh Nam Định, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THỦY SẢN TOÀN THÀNH,0310969732-001,TRẦN VĂN BÙI ," 451/14Bis Tô Hiến Thành, Phường 14, Quận 10, Thành phố Hồ Chí Minh, Việt Nam"
XƯỞNG SẢN XUẤT - CÔNG TY TNHH THUỐC THỦY SẢN NĂM CON ĐƯỜNG,4200713340-001,HỒNG NHẬT TIẾN," Thôn Vĩnh Phú, Xã Suối Tân, Huyện Cam Lâm, Tỉnh Khánh Hòa, Việt Nam"
