co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
Bộ Công Thương,VHD,Trường đại học,Công lập,Viet Nam - Hungary Industrial University,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VIỆT - HUNG,Hà Nội,http://viu.edu.vn/
Bộ Công Thương,DCT,Trường đại học,Công lập,Ho Chi Minh City University of Food Industry,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP THỰC PHẨM TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://hufi.edu.vn/
Bộ Giáo dục và Đào tạo,DCV,Trường đại học,Tư thục,Industrial University of Vinh,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VINH,Nghệ An,http://www.iuv.edu.vn/
Bộ Công Thương,VUI,Trường đại học,Công lập,Viet Tri University of Industry,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VIỆT TRÌ,Phú Thọ,http://www.vui.edu.vn/
Bộ Giáo dục và Đào tạo,KHA,Trường đại học,Công lập,National Economic University,TRƯỜNG ĐẠI HỌC KINH TẾ QUỐC DÂN,Hà Nội,https://www.neu.edu.vn/
Bộ Giáo dục và Đào tạo,KSA,Trường đại học,Công lập,University of Economics Ho Chi Minh City,TRƯỜNG ĐẠI HỌC KINH TẾ TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://www.ueh.edu.vn/
UBND tỉnh Nghệ An,CEA,Trường đại học,Công lập,Nghe An College of Economics,TRƯỜNG ĐẠI HỌC KINH TẾ NGHỆ AN,Nghệ An,http://dhktna.edu.vn/
Bộ Giáo dục và Đào tạo,DTE,Trường đại học,Công lập,University of Economic and Business Administration - Thai Nguyen University,"TRƯỜNG ĐẠI HỌC KINH TẾ & QUẢN TRỊ KINH DOANH, ĐẠI HỌC THÁI NGUYÊN",Thái Nguyên,http://tueba.edu.vn/
Bộ Giáo dục và Đào tạo,DLA,Trường đại học,Tư thục,Long An University of Economics and Industry,TRƯỜNG ĐẠI HỌC KINH TẾ CÔNG NGHIỆP LONG AN,Long An,https://daihoclongan.edu.vn/
Bộ Công Thương,DKK,Trường đại học,Công lập,University of Economic and Technical Industries,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,Nam Định,https://uneti.edu.vn/
QHT,VNU University of Science,Trường đại học,Công lập,http://hus.vnu.edu.vn/,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐẠI HỌC QUỐC GIA HÀ NỘI,VNU-CEA,Hà Nội
UBND TP. Cần Thơ,KCC,Trường đại học,Công lập,Can Tho University of Technology,TRƯỜNG ĐẠI HỌC KỸ THUẬT - CÔNG NGHỆ CẦN THƠ,Cần Thơ,https://ctuet.edu.vn/
Bộ Giáo dục và Đào tạo,DHK,Trường đại học,Công lập,"University of Economics, Hue University","TRƯỜNG ĐẠI HỌC KINH TẾ, ĐẠI HỌC HUẾ",Thừa Thiên Huế,https://hce.edu.vn
Bộ Y tế,DKY,Trường đại học,Công lập,Hai Duong Medical Technical University,TRƯỜNG ĐẠI HỌC KỸ THUẬT Y TẾ HẢI DƯƠNG,Hải Dương,http://www.hmtu.edu.vn/
UBND tỉnh Khánh Hòa,UKH,Trường đại học,Công lập,Khanh Hoa University,TRƯỜNG ĐẠI HỌC KHÁNH HOÀ,Khánh Hoà,http://ukh.edu.vn/
Bộ Y tế,YDN,Trường đại học,Công lập,Danang University of Medical Technology and Pharmacy,TRƯỜNG ĐẠI HỌC KỸ THUẬT Y - DƯỢC ĐÀ NẴNG,Đà Nẵng,http://dhktyduocdn.edu.vn/
Bộ Giáo dục và Đào tạo,DTK,Trường đại học,Công lập,University of Technology - Thai Nguyen University,"TRƯỜNG ĐẠI HỌC KỸ THUẬT CÔNG NGHIỆP, ĐẠI HỌC THÁI NGUYÊN",Thái Nguyên,http://www.tnut.edu.vn/
QST,VNUHCM - University of Science,Trường đại học,Công lập,https://www.hcmus.edu.vn/,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,VNU-CEA,TP. Hồ Chí Minh
Bộ Giáo dục và Đào tạo,DLH,Trường đại học,Tư thục,Lac Hong University,TRƯỜNG ĐẠI HỌC LẠC HỒNG,Đồng Nai,https://lhu.edu.vn/
QSX,VNUHCM - University of Social Sciences and Humanities,Trường đại học,Công lập,https://hcmussh.edu.vn/,TRƯỜNG ĐẠI HỌC KHOA HỌC XÃ HỘI VÀ NHÂN VĂN - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,VNU-CEA,TP. Hồ Chí Minh
Bộ Giáo dục và Đào tạo,DHT,Trường đại học,Công lập,"University of Sciences, Hue University","TRƯỜNG ĐẠI HỌC KHOA HỌC, ĐẠI HỌC HUẾ",Thừa Thiên Huế,http://husc.hueuni.edu.vn/
